,Network Name,Layer Number,Context Ratio,pCon1,pConRel,Context Error Bars,Category Ratio,pCat1,pCatRel,Category Error Bars,pConVCat,Confounds Removed,AlexNet,AlexNet_Places365,GoogLeNet,GRCNN55,ResNet101,ResNet152,ResNet18,ResNet18_Places365,ResNet50,ResNet50_Places365,Resnext50_32x4d,Vgg16,Vgg19,0,2,5,7,10,12,14,17,19,21,24,26,28
106,ResNet50,9.0,1.0018653093117182,0.0022040375693551,0.0021625874794277,0.0005834168020528,1.0144295747849474,4.3311710883485925e-60,3.0198642571220886e-60,0.0005161085827521,1.6176213129548776e-23,True,,,,,,,,,,,,,,,,,,,,,,,,,,
107,ResNet50_Places365,0.0,0.9999999690994368,0.996752801102302,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.4253901258468537,0.4243776088224807,4.239378711188689e-06,0.4743247034990712,True,,,,,,,,,,,,,,,,,,,,,,,,,,
108,ResNet50_Places365,1.0,1.0248808192360264,2.303119056038137e-05,1.1207228810257696e-05,0.0054568343596873,1.0614923715973583,2.8567895815251784e-30,3.915438805008405e-33,0.0041969206172775,3.016363633613568e-06,True,,,,,,,,,,,,,,,,,,,,,,,,,,
109,ResNet50_Places365,2.0,1.0111553476570874,0.0001223109272579,7.925073718827195e-05,0.0027272254537284,1.0302776499160178,4.146683164605746e-34,4.831166110423297e-35,0.001873324516352,2.8780789671671882e-08,True,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ResNet50_Places365,3.0,1.0110459642161955,0.0001286608302815,8.374847543283477e-05,0.0027101905913267,1.0301610053191943,4.317212800695428e-34,4.562565269657688e-35,0.001866913341135,2.3484510773450604e-08,True,,,,,,,,,,,,,,,,,,,,,,,,,,
111,ResNet50_Places365,4.0,1.0110459642161955,0.0001286608302815,8.374847543283477e-05,0.0027101905913267,1.0301610053191943,4.317212800695428e-34,4.562565269657688e-35,0.001866913341135,2.3484510773450604e-08,True,,,,,,,,,,,,,,,,,,,,,,,,,,
112,ResNet50_Places365,5.0,1.0170419717580836,4.949492753616583e-06,3.4359448536481284e-06,0.003427649227305,1.0531081466360894,8.4685743356177435e-47,7.890022476263522e-48,0.0024690651126156,1.3136729859463065e-12,True,,,,,,,,,,,,,,,,,,,,,,,,,,
113,ResNet50_Places365,6.0,1.0318160909441694,0.0001037963531487,4.716774542761255e-05,0.0076893483441024,1.135360363869408,3.3564081238142665e-56,3.0541532554331988e-58,0.0052138210681151,2.528188384637231e-15,True,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ResNet50_Places365,7.0,1.0980305140960342,4.260934668326971e-05,1.0995787160047345e-05,0.0223322220190982,1.582165390565858,3.906945340036552e-62,1.0500850417936868e-71,0.0200408841098405,2.6715971395196188e-20,True,,,,,,,,,,,,,,,,,,,,,,,,,,
115,ResNet50_Places365,8.0,1.1833121675554428,5.924898319495131e-07,1.44173151612274e-07,0.0332167762470134,1.926394312831185,2.4172495442901512e-51,3.932401429240924e-72,0.0392539330171119,4.6045835898600535e-19,True,,,,,,,,,,,,,,,,,,,,,,,,,,
116,ResNet50_Places365,9.0,1.164968063187748,1.0662507469018598e-06,1.5281113910710994e-07,0.0307232205142066,1.811545024996359,1.1476991294109501e-44,9.867699539559625e-72,0.0394637203519786,6.358856011416782e-17,True,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Resnext50_32x4d,0.0,0.9999999690994368,0.996752801102302,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.4253901258468537,0.4243776088224807,4.239378711188689e-06,0.4743247034990712,True,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Resnext50_32x4d,1.0,1.0247706626594626,0.0001264296618595,5.605007561670231e-05,0.0060700779386118,1.0669283200915605,5.6723430576599954e-30,1.1294341559982407e-32,0.004604327349838,4.905209901179648e-06,True,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Resnext50_32x4d,2.0,1.0159981928479698,0.0597583804399436,0.0325266529590291,0.0083065142613201,1.1039823736366234,9.83274733833965e-41,1.0112755571630181e-44,0.0055091086404836,1.2214029619339355e-10,True,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Resnext50_32x4d,3.0,1.0162599524479432,0.0574507086450639,0.031067710379182,0.0083636485360199,1.104947672863734,1.494751062038465e-40,1.3750710421974424e-44,0.0055829037636206,1.2272066855622123e-10,True,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Resnext50_32x4d,4.0,1.0162599524479432,0.0574507086450639,0.031067710379182,0.0083636485360199,1.104947672863734,1.494751062038465e-40,1.3750710421974424e-44,0.0055829037636206,1.2272066855622123e-10,True,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Resnext50_32x4d,5.0,1.014665394419938,0.0141852918926998,0.0088487420314887,0.0057941359083644,1.0897818794533995,2.411544804410934e-49,7.208058348772004e-52,0.0039608896903858,2.449524949596729e-15,True,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Resnext50_32x4d,6.0,1.0161873365047438,0.0738637703863444,0.0452532775159891,0.0088628429002096,1.1406386136610551,1.3132791588442598e-56,5.661462364388099e-60,0.005374767300071,2.810460483106652e-16,True,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Resnext50_32x4d,7.0,1.0399917085076926,0.0175990543075946,0.0128492632713921,0.0163452798348954,1.4025044690951414,1.6270917829348994e-58,8.379242791471217e-60,0.0148317429375957,3.599466713303211e-24,True,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Resnext50_32x4d,8.0,1.0019157492704145,0.1883398448925202,0.1728743039678548,0.0014325595081807,1.016943943497184,5.98113852730018e-18,7.581796412027483e-18,0.0017070982449283,1.4312575436721649e-10,True,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Resnext50_32x4d,9.0,1.0003541190055432,0.0446833983073424,0.0439695716751723,0.0001721164304995,1.003334289653076,1.862290529962745e-42,1.894551737516273e-42,0.0001700596829983,9.334018355521747e-21,True,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Vgg16,0.0,0.9999999690994368,0.996752801102302,0.9971713174796014,7.514381552473296e-06,1.0000034004483715,0.4253901258468537,0.4243776088224807,4.239378711188689e-06,0.4743247034990712,True,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Vgg16,1.0,1.0068030525390066,2.8850485852014683e-05,2.3405759060873744e-05,0.0015125583867852,1.0162075010960108,1.192675048399302e-25,3.6729197906300414e-26,0.0012591482168764,5.61666142141802e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Vgg16,2.0,1.0067114620627968,3.102152545110413e-05,2.5222204708249097e-05,0.001498862977686,1.016031753082313,9.904358128749712e-26,3.166826465089049e-26,0.0012425165974344,4.733736563589075e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Vgg16,3.0,1.0295148983058195,0.0002177941327356,6.38237800656535e-05,0.0075261906066764,1.080505652315639,2.0837343486824395e-27,8.286044235163023e-31,0.0059434539815872,4.861842865568911e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Vgg16,4.0,1.029507117803781,0.0002176714559978,6.383138719222921e-05,0.0075238867902026,1.0805098000309454,2.088163627031141e-27,8.280425314473607e-31,0.0059439156676459,4.848649666964972e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Vgg16,5.0,1.029507117803781,0.0002176714559978,6.383138719222921e-05,0.0075238867902026,1.0805098000309454,2.088163627031141e-27,8.280425314473607e-31,0.0059439156676459,4.848649666964972e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Vgg16,6.0,1.0578187232906606,3.458571696283474e-05,6.316436174654227e-06,0.0129999103839161,1.1487783063157964,2.733682082548167e-29,1.2156098089732534e-34,0.0104251752005668,1.849626227785953e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Vgg16,7.0,1.0578121239446188,3.472692979658054e-05,6.34251231606661e-06,0.0130017263769763,1.1487839009959395,2.7194138089593776e-29,1.209975803511372e-34,0.0104249243785405,1.8508244709374738e-07,True,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Vgg16,8.0,1.078430086700191,5.410093340559111e-05,8.862628026852507e-06,0.0181432958586975,1.2441452028358135,3.8236249142569176e-31,2.351739666573166e-40,0.0162845380481559,2.674118365502086e-09,True,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Vgg16,9.0,1.078430086700191,5.410093340559111e-05,8.862628026852507e-06,0.0181432958586975,1.2441452028358135,3.8236249142569176e-31,2.351739666573166e-40,0.0162845380481559,2.674118365502086e-09,True,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Vgg16,10.0,1.078430086700191,5.410093340559111e-05,8.862628026852507e-06,0.0181432958586975,1.2441452028358135,3.8236249142569176e-31,2.351739666573166e-40,0.0162845380481559,2.674118365502086e-09,True,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Vgg16,11.0,1.047518822245456,0.0001832241666539,4.394878775300528e-05,0.0119617014840449,1.189042450751956,2.983443837000391e-45,4.0057267979901294e-49,0.0090791674515542,6.63036849255542e-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Vgg16,12.0,1.0474937912263584,0.0001838954734521,4.406871592029486e-05,0.0119586349702798,1.1889824392338184,3.130444421522481e-45,4.233121276117527e-49,0.0090803019292516,6.653932824997657e-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Vgg16,13.0,1.0407516831309376,0.0018597626881577,0.0002987618799434,0.0125252223644216,1.194399997315111,4.452417559970224e-49,7.9963181390097615e-53,0.0086229728044919,3.1462565142482534e-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Vgg16,14.0,1.040745581651812,0.0018661618383682,0.0002998328765622,0.0125277125385812,1.1944016769964496,4.3974995240837665e-49,7.900968134027904e-53,0.0086220991290765,3.15774803265033e-14,True,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Vgg16,15.0,1.054763956546987,0.0033197302188339,0.0004379043752622,0.0179043057348039,1.3104989861449503,2.7803318990175958e-55,1.5852181151003802e-61,0.0121742486101964,6.572638457825385e-16,True,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Vgg16,16.0,1.0548031681740944,0.0032921499179497,0.0004340748071797,0.0179003876455403,1.3105143107777055,2.7704711352153003e-55,1.592291758351368e-61,0.0121744847549931,6.538521169987309e-16,True,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Vgg16,17.0,1.0548031681740944,0.0032921499179497,0.0004340748071797,0.0179003876455403,1.3105143107777055,2.7704711352153003e-55,1.592291758351368e-61,0.0121744847549931,6.538521169987309e-16,True,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Vgg16,18.0,1.067409627925982,0.0016307291393744,0.0001748545049231,0.0204471872095984,1.4191496588977743,5.7522794115728846e-55,1.9441356245167023e-62,0.0165354611452249,9.93676010124668e-16,True,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Vgg16,19.0,1.067360127481374,0.0016672049014225,0.000177197363626,0.0204771852143815,1.419548242978009,6.646426349570093e-55,2.2276936180990696e-62,0.0165714105799534,1.0520472413125925e-15,True,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Vgg16,20.0,1.0951612702229925,0.0008651032142849,6.805751389564598e-05,0.0271848240293724,1.6178881662410751,1.6771452479602291e-53,1.0366938198247054e-66,0.0250842508675241,7.816226538648562e-18,True,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Vgg16,21.0,1.0950757411775338,0.0009213497508067,7.141686381604769e-05,0.027315870848412,1.6205070746518304,2.134237254903216e-53,1.43588903285618e-66,0.025242505885886,9.693610983489386e-18,True,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Vgg16,22.0,1.1428111362358666,0.0003990903629041,3.936129537882876e-05,0.0381840120132454,1.9467256691740973,7.67648622229612e-45,1.820525693072788e-71,0.0458663729302587,1.0940437676164239e-16,True,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Vgg16,23.0,1.1439981615189552,0.000401365091022,3.882827738857018e-05,0.0385191798504621,1.9603104949289496,3.60231588315888e-45,1.969605194395016e-71,0.0462010323935777,1.1224168705034602e-16,True,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Vgg16,24.0,1.1439981615189552,0.000401365091022,3.882827738857018e-05,0.0385191798504621,1.9603104949289496,3.60231588315888e-45,1.969605194395016e-71,0.0462010323935777,1.1224168705034602e-16,True,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Vgg16,25.0,1.1850020786810862,0.0001398924047406,1.3369695100569138e-05,0.0456634309389283,2.201749712117936,7.881196611821679e-43,1.1796368689410315e-72,0.0607960382465586,1.4446381564231618e-17,True,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Vgg16,26.0,1.1858850583840206,0.0001387656251306,1.3781838407128796e-05,0.0458547730213945,2.2126403326293524,4.343970839397942e-43,1.3100346203686842e-72,0.0610031539860822,1.3762374762322922e-17,True,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Vgg16,27.0,1.2683614851351206,0.0006668972568402,7.295143951767306e-05,0.0749165595140726,3.0345965039847083,2.078001111211276e-23,2.317960358694946e-75,0.169314896554304,2.2203844955882078e-10,True,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Vgg16,28.0,1.2762220101524295,0.0005605646778127,6.876137420880598e-05,0.075968436668201,3.094504925796469,6.812151247489256e-26,2.619519340863111e-75,0.1615531628567433,3.5980183022507465e-11,True,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Vgg16,29.0,1.4525217996128224,0.0001994130245522,2.589932918248734e-06,0.1146302575375265,-3.2203366766517494,0.4651502922652812,5.094529007263431e-81,5.743132713808383,0.8230782638023759,True,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Vgg16,30.0,1.5062143326586923,0.0001293014360796,2.23415663152599e-06,0.1242464573550668,6.468964543983229,0.0160061236371439,1.5219781530192978e-80,2.236124015048378,0.0651312876078786,True,,,,,,,,,,,,,,,,,,,,,,,,,,
